Title,Artist,Male,Female ,Primarily Male ,Primarily Female,Equal Mixed,Pop,Country,2012,2013,2014,2015,2016,Studio,1,2,3,4,5,1,2,3,4,5
Work,Rihanna ft. Drake,0,0,0,1,0,1,0,0,0,0,0,1,Roc Nation,0,0,0,0,1,0,0,0,0,5
Stressed out,twenty one pilots,1,0,0,0,0,1,0,0,0,0,0,1,"Fueled By Ramen, LLC",0,0,0,0,0,0,0,0,0,0
Panda,Desiigner,1,0,0,0,0,1,0,0,0,0,0,1,GOOD Music,0,1,0,1,1,0,5,0,40,45
Hello,Adele,0,1,0,0,0,1,0,0,0,0,0,1,XL Recordings,0,0,0,0,1,0,0,0,0,2
Don't let me down,The Chainsmokers ft. Daya,0,0,1,0,0,1,0,0,0,0,0,1,Disruptor Records,0,0,0,0,1,0,0,0,0,52
CAN'T STOP THE FEELING,Justin Timberlake,1,0,0,0,0,1,0,0,0,0,0,1,RCA Records,1,0,1,0,0,3,0,7,0,0
Closer,The Chainsmokers ft. Halsey,0,0,1,0,0,1,0,0,0,0,0,1,Disruptor Records,1,1,1,0,1,2,2,21,0,3
Time is love,Josh Turner,1,0,0,0,0,0,1,1,0,0,0,0,MCA Nashville,0,0,0,0,0,0,0,0,0,0
You don't know her like I do,Brantley Gilbert,1,0,0,0,0,0,1,1,0,0,0,0,"The Valory Music Co., LLC",0,0,0,0,0,0,0,0,0,0
Why ya wanna,Jana Kramer,0,1,0,0,0,0,1,1,0,0,0,0,"Warner Music Nashville, LLC",1,1,0,0,0,3,4,0,0,0
Cowboys and angels,Dustin Lynch,1,0,0,0,0,0,1,1,0,0,0,0,Broken Bow Records,0,0,1,0,1,0,0,2,0,1
(Kissed you) Good night,Gloriana,0,0,0,0,1,0,1,1,0,0,0,0,Emblem Records Inc.,0,0,1,0,1,0,0,3,0,5
Better than I used to be,Tim McGraw,1,0,0,0,0,0,1,1,0,0,0,0,Curb Records Inc.,0,0,0,0,0,0,0,0,0,0
Even if it breaks your heart,Eli Young Band,1,0,0,0,0,0,1,1,0,0,0,0,"Big Machine Label Group, LLC",0,0,0,0,0,0,0,0,0,0
Lovin' you is fun,Easton Corbin,1,0,0,0,0,0,1,1,0,0,0,0,Mercury Records,0,0,0,0,0,0,0,0,0,0
Springsteen,Eric Church,1,0,0,0,0,0,1,1,0,0,0,0,Capitol Records Nashville,0,1,1,0,0,0,2,3,0,0
Drunk on you,Luke Bryan,1,0,0,0,0,0,1,1,0,0,0,0,Capitol Records Nashville,1,1,1,1,0,3,9,21,20,0
Cruise,Florida Georgia Line,1,0,0,0,0,1,1,0,1,0,0,0,"Big Machine Label Group, LLC",1,1,0,1,0,4,3,0,1,0
Wagon wheel,Darius Rucker,1,0,0,0,0,0,1,0,1,0,0,0,Capitol Records Nashville,0,0,0,0,0,0,0,0,0,0
Boys 'round here,Blake Shelton ft. Pistol Annies and Friends,0,0,1,0,0,0,1,0,1,0,0,0,"Ten Point Productions, Inc.",0,1,1,1,1,0,5,13,4,2
Crash my party,Luke Bryan,1,0,0,0,0,0,1,0,1,0,0,0,Capitol Records Nashville,1,1,1,1,0,1,3,12,2,0
I want crazy,Hunter Hayes,1,0,0,0,0,0,1,0,1,0,0,0,Atlantic Records,0,0,0,0,0,0,0,0,0,0
Highway don't care,Tim McGraw ft. Taylor Swify and Keith Urban,0,0,1,0,0,0,1,0,1,0,0,0,"McGraw Music, LLC",0,0,0,0,1,0,0,0,0,9
Get your shine on,Florida Georgia Line,1,0,0,0,0,0,1,0,1,0,0,0,Republic Nashville,0,1,1,1,0,0,5,1,15,0
Momma's broken heart,Miranda Lambert,0,1,0,0,0,0,1,0,1,0,0,0,Sony Music Entertainment,0,1,0,0,1,0,6,0,0,5
Sure be cool if you did,Blake Shelton,1,0,0,0,0,0,1,0,1,0,0,0,"Ten Point Productions, Inc.",1,1,1,0,0,1,1,15,0,0
Runnin' outta moonlight,Randy Houser,1,0,0,0,0,0,1,0,1,0,0,0,Stoney Creek Records,1,1,0,0,0,1,2,0,0,0
This is how we roll,Florida Georgia Line,1,0,0,0,0,0,1,0,0,1,0,0,"Big Machine Label Group, LLC",1,1,0,1,0,1,1,0,1,0
Burnin' it down,Jason Aldean,1,0,0,0,0,0,1,0,0,1,0,0,Broken Bow Records,0,0,1,1,0,0,0,33,5,0
Dirt,Florida Georgia Line,1,0,0,0,0,0,1,0,0,1,0,0,"Big Machine Label Group, LLC",1,1,0,0,0,3,6,0,0,0
Bottoms up,Brantley Gilbert,1,0,0,0,0,0,1,0,0,1,0,0,"The Valory Music Co., LLC",1,1,1,1,1,1,6,6,3,4
Play it again,Luke Bryan,1,0,0,0,0,0,1,0,0,1,0,0,Capitol Records Nashville,0,1,0,1,1,0,1,0,1,2
American kids,Kenny Chesney,1,0,0,0,0,0,1,0,0,1,0,0,"Blue Chair Records, LLC",0,0,1,1,0,0,0,2,2,0
Bartender,Lady Antebellum,0,0,1,0,0,0,1,0,0,1,0,0,"Lady A Entertainment, LLC",0,1,0,1,0,0,1,0,1,0
Drunk on a plane,Dierks Bentley,1,0,0,0,0,0,1,0,0,1,0,0,Capitol Records Nashville,0,1,1,0,0,0,6,3,0,0
Leave the night on,Sam Hunt,1,0,0,0,0,0,1,0,0,1,0,0,MCA Nashville,0,1,1,0,0,0,3,10,0,0
Somethin' bad,Miranda Lambert ft. Carrie Underwood,0,1,0,0,0,0,1,0,0,1,0,0,Sony Music Entertainment,0,0,0,0,0,0,0,0,0,0
Take your time,Sam Hunt,1,0,0,0,0,0,1,0,0,0,1,0,Universal Music Group Nashville,0,1,1,1,0,0,1,28,2,0
Girl crush,Little Big Town,0,0,0,0,1,0,1,0,0,0,1,0,Capitol Records Nashville,0,1,0,1,1,0,6,0,2,6
House party,Sam Hunt,1,0,0,0,0,0,1,0,0,0,1,0,MCA Nashville,0,1,0,0,0,0,1,0,0,0
Kick the dust up,Luke Bryan,1,0,0,0,0,0,1,0,0,0,1,0,Capitol Records Nashville,0,0,0,0,0,0,0,0,0,0
Crash and burn,Thomas Rhett,1,0,0,0,0,0,1,0,0,0,1,0,"Big Machine Label Group, LLC",0,0,0,0,0,0,0,0,0,0
Sangria,Blake Shelton,1,0,0,0,0,0,1,0,0,0,1,0,"Ten Point Productions, Inc.",0,1,1,1,0,0,3,26,9,0
Homegrown,Zac Brown Band,1,0,0,0,0,0,1,0,0,0,1,0,"Big Machine Label Group, LLC",0,1,0,0,0,0,3,0,0,0
Buy me a boat,Chris Janson,1,0,0,0,0,0,1,0,0,0,1,0,"Warner Music Nashville, LLC",0,0,0,0,0,0,0,0,0,0
"John Cougar, John Deere, John 3:16",Keith Urban,1,0,0,0,0,0,1,0,0,0,1,0,Hit Red Records,0,0,0,0,0,0,0,0,0,0
Like a wreckingball,Eric Church,1,0,0,0,0,0,1,0,0,0,1,0,Capitol Records Nashville,0,1,1,1,0,0,2,12,2,0
H.O.L.Y.,Florida Georgia Line,1,0,0,0,0,0,1,0,0,0,0,1,"Big Machine Label Group, LLC",0,0,0,0,0,0,0,0,0,0
Die a happy man,Thomas Rhett,1,0,0,0,0,0,1,0,0,0,0,1,"Big Machine Label Group, LLC",0,1,0,0,0,0,3,0,0,0
Humble and kind,Tim McGraw,1,0,0,0,0,0,1,0,0,0,0,1,"McGraw Music, LLC",0,0,0,0,0,0,0,0,0,0
Somewhere on a beach,Dierks Bentley,1,0,0,0,0,0,1,0,0,0,0,1,Capitol Records Nashville,0,1,1,1,1,0,6,6,9,3
Head over boots,Jon Pardi,1,0,0,0,0,0,1,0,0,0,0,1,Capitol Records Nashville,0,0,0,0,0,0,0,0,0,0
You should be here,Cole Swindell,1,0,0,0,0,0,1,0,0,0,0,1,"Warner Music Nashville, LLC",0,0,0,0,0,0,0,0,0,0
Break up in a small town,Sam Hunt,1,0,0,0,0,0,1,0,0,0,0,1,MCA Nashville,0,0,0,1,0,0,0,0,3,0
My church,Maren Morris,0,1,0,0,0,0,1,0,0,0,0,1,Sony Music Nashville,0,0,0,0,0,0,0,0,0,0
Came here to forget,Blake Shelton,1,0,0,0,0,0,1,0,0,0,0,1,"Ten Point Productions, Inc.",0,0,1,0,0,0,0,12,0,0
Peter Pan,Kelsey Ballerini,0,1,0,0,0,0,1,0,0,0,0,1,Black River Entertainment,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
